name,subdir,N,E,N_types,specificity,degree_mean,degree_hetero,max_edges,clustering_coeff,max_chordless_cycle,self_assembly_probability,tree_num,guided_assembly_probability,tree_depth,tree_leaves,tree_N
0_1_1_13_3_7_17_17_10_6_3_2_19_5_9,bl_3,19,18,8,0.9022556390977444,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_16_19_2_10_17_20_7_20_14_2_14_20_9_8_8_2_19_8_4_16_9_4_14_4_17_4_15_8_4_19_5_8_9_8,bl_3,62,61,8,0.9297235023041476,1.967741935483871,4.193548387096774,57,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_7_11_19_19_21_5_3_15_2_9_8_20_14_3,bl_3,22,21,9,0.9204545454545454,1.9090909090909087,4.0,17,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_7_3_15_15_2_16_13_20_8_21_4_18_9_20_15_2_9_14_20_9,bl_3,34,33,9,0.9319852941176472,1.9411764705882355,4.176470588235294,29,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_22_8_3_6_16_3_12_16_4_16_3_20_9,bl_3,14,13,8,0.8979591836734694,1.8571428571428568,3.571428571428572,9,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_10_17_22_14_3_20_8_18_21_20_16_9_2_17_2_17_8_9_5_5,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_7_3_12_12_21_5_2_14_17_16_8_4_9_20_9_15_15_3,bl_3,26,25,9,0.9182692307692308,1.9230769230769231,4.0,21,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_6_11_13_17_2_14_20_22_18_9_5_9_2_18_8_4_14_9_20_2_14_9_4_4_5_15_8_18_9,bl_3,54,53,8,0.9351851851851852,1.962962962962963,4.222222222222222,49,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_16_18_10_3_22_9_3_5_16_21_5_14_3_8,bl_3,15,14,6,0.92,1.8666666666666667,3.6,10,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_3_19_19_3_6_12_7_3,bl_3,9,8,4,1.037037037037037,1.7777777777777777,3.333333333333333,4,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_3_6_18_18_12_3_13_3_22_20_14_9,bl_3,12,11,8,0.8988095238095238,1.8333333333333333,3.5,7,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_21_19_4_13_2_5_2_2_16_19_18_4_17_14_18_7_16_9_8_4_16_5_9_9_5_8_5_8_9,bl_3,52,51,7,0.9455128205128204,1.9615384615384608,4.230769230769231,47,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_6_13_18_10_2_9_5_3_3_15_22_18_9_4_4_19_19_4_8_4_18_4_19_9_18_8_5_9_8,bl_3,32,31,8,0.921875,1.9375,4.0,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_19_12_2_3_14_2_20_20_22_5_17_21_8_20_15_18_17_8_9_8,bl_3,35,34,8,0.9387755102040816,1.9428571428571428,4.171428571428572,30,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_6_3_19_10_13_14_7_2_17_5_8_2_5_16_9,bl_3,29,28,8,0.9261083743842364,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_12_16_17_7_6_2_14_11_4_5_19_2_18_9_4_20_18_9_8_9_3,bl_3,37,36,9,0.9222972972972971,1.945945945945946,4.162162162162162,32,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_13_21_5_18_2_17_12_3_16_20_15_9_8_2_5_18_9_7,bl_3,32,31,9,0.93359375,1.9375,4.1875,27,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_12_3_17_2_5_2_19_6_8_20_10_16_7_9,bl_3,29,28,9,0.9267241379310344,1.9310344827586208,4.206896551724138,24,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_18_18_6_7_2_20_3_18_10_8_10_3,bl_3,19,18,9,0.9078947368421052,1.894736842105263,4.0,14,0.0,0,,0.0,0.0,0.0,1.0,1.0
0_1_1_17_17_22_8_10_17_3_21_20_19_20_9_3_3,bl_3,15,14,6,0.96,1.8666666666666667,3.6,10,0.0,0,,0.0,0.0,0.0,1.0,1.0
